Abin_Sur, dc
Spirit_of_'76_(Marvel_Comics), marvel
Spitfire_(comics), marvel
Spoilsport_(comics), marvel
Spoor_(comics), marvel
Spot_(comics), marvel
Sprite_(Eternal), marvel
Sprocket_(comics), marvel
Sputnik_(comics), marvel
Spyder_(comics), marvel
Spyke, marvel
Spymaster_(comics), marvel
Spyne, marvel
Squirrel_Girl, marvel
Squid_(Marvel_Comics), marvel
Squidboy, marvel
Gabriel_Stacy_and_Sarah_Stacy, marvel
George_Stacy, marvel
Gwen_Stacy|Spider-Woman_(Gwen_Stacy)|Gwen_Stacy_(The_Amazing_Spider-Man_film_series), marvel
Stacy_X, marvel
Stained_Glass_Scarlet, marvel
Zeke_Stane, marvel
Star_Brand, marvel
Star-Lord, marvel
Star_Thief, marvel
Stardust_(Marvel_Comics), marvel
Starfox_(comics), marvel
Starhawk_(comics), marvel
Starlight_(Marvel_Comics), marvel
Arno_Stark, marvel
Howard_Stark, marvel
Maria_Stark, marvel
Morgan_Stark, marvel
Starr_the_Slayer, marvel
Starshine_(comics), marvel
Emma_Steed, marvel
Steel_Serpent, marvel
Steel_Spider, marvel
Steel_Wind, marvel
Steeplejack_(Marvel_Comics), marvel
Stegron, marvel
Chase_Stein, marvel
Pride_(comics), marvel
Stellaris_(comics), marvel
Stepford_Cuckoos, marvel
Stick_(comics), marvel
Stiletto_(comics), marvel
Farley_Stillwell, marvel
Stilt-Man, marvel
Stinger_(Marvel_Comics), marvel
Stingray_(comics), marvel
Stonecutter_(comics), marvel
Stonewall_(comics), marvel
Storm_(Marvel_Comics), marvel
Franklin_Storm, marvel
Stranger_(comics), marvel
Damage_Control_(comics), marvel
Straw_Man_(comics), marvel
Stringfellow_(comics), marvel
Strobe_(comics), marvel
Mendel_Stromm, marvel
Strong_Guy, marvel
Strongman_(comics), marvel
Stryfe, marvel
William_Stryker, marvel
Stunt-Master_(comics), marvel
Styx_and_Stone, marvel
Subterranea_(comics), marvel
Hope_Summers_(comics), marvel
Ruby_Summers, marvel
Sons_of_the_Tiger, marvel
Sun_Girl_(Marvel_Comics), marvel
Sunfire_(comics), marvel
Sunpyre, marvel
Sunspot_(comics), marvel
Sunturion, marvel
Super-Adaptoid, marvel
Super-Patriot_(Marvel_Comics), marvel
Super_Rabbit_(comics), marvel
Super_Sabre_(comics), marvel
Super-Skrull, marvel
Supergiant_(comics), marvel
Superia, marvel
Supernova_(Marvel_Comics), marvel
Supreme_Intelligence, marvel
Surtur_(Marvel_Comics), marvel
Swarm_(comics), marvel
Jenny_Swensen, marvel
Beverly_Switzler, marvel
Lin_Lie, marvel
Swordsman_(comics), marvel
Kevin_Sydney, marvel
Sydren, marvel
Synapse_(comics), marvel
Synch_(comics), marvel
T-Ray_(comics), marvel
Tag_(comics), marvel
Tai_(comics), marvel
Hiro_Takachiho, marvel
Glenn_Talbot, marvel
Talisman_(Alpha_Flight), marvel
Talos_the_Untamed, marvel
Tarantula_(Marvel_Comics), marvel
Tarzan_in_comics, marvel
Taserface, marvel
Taskmaster_(comics), marvel
Taurus_(comics), marvel
Tazza_(comics), marvel
Teen_Abomination, marvel
Angel_Salvadore, marvel
Claire_Temple|Claire_Temple_(Marvel_Cinematic_Universe), marvel
Tempo_(comics), marvel
Tenebrous_(Marvel_Comics), marvel
Terraformer_(comics), marvel
Terrax, marvel
Terror_Inc., marvel
Texas_Twister, marvel
Thanos|Thanos_(Marvel_Cinematic_Universe), marvel
Thena, marvel
Death_Web_(comics), marvel
Thermite_(comics), marvel
Thin_Man_(comics), marvel
Thing_(comics), marvel
Thog_(comics), marvel
Thor_(Marvel_Comics)|Thor_(Ultimate_Marvel_character)|Thor_(Marvel_Cinematic_Universe), marvel
Thor_Girl, marvel
Professor_Thorton, marvel
Threnody_(comics), marvel
Thunderball_(comics), marvel
Thunderbird_(John_Proudstar), marvel
Thunderbolt_(Marvel_Comics), marvel
Thunderclap_(comics), marvel
Thunderer_(Marvel_Comics), marvel
Thunderstrike_(Eric_Masterson), marvel
Thundersword, marvel
Thundra, marvel
Tiger_Shark_(Marvel_Comics), marvel
Tigra, marvel
Timebroker, marvel
Timeslip_(comics), marvel
Tinkerer_(Marvel_Comics), marvel
Titania_(Marvel_Comics), marvel
Titanium_Man, marvel
Titannus, marvel
Toad_(comics), marvel
Tombstone_(comics), marvel
Tonaja, marvel
Topaz_(Marvel_Comics), marvel
Toro_(comics), marvel
Torpedo_(Marvel_Comics), marvel
Klara_Prast, marvel
Blake_Tower, marvel
June_Covington, marvel
Toxin_(comics), marvel
Tracer_(Marvel_Comics), marvel
Trance_(comics), marvel
Transonic_(comics), marvel
Trapster, marvel
Trash_(comics), marvel
Bolivar_Trask, marvel
Judas_Traveller, marvel
Lorelei_Travis, marvel
Tremolo_(comics), marvel
Tricephalous_(comics), marvel
Trick_Shot_(comics), marvel
Triton_(comics), marvel
Troll_(Marvel_Comics), marvel
Damian_Tryp, marvel
Matsu'o_Tsurayaba, marvel
Turbo_(comics), marvel
Turner_D._Century, marvel
Tusk_(comics), marvel
Two-Gun_Kid, marvel
Jessan_Hoan, marvel
Typeface_(comics), marvel
Typhon_(comics), marvel
Tyr_(Marvel_Comics), marvel
Tyrak, marvel
Tyrant_(Marvel_Comics), marvel
Uatu, marvel
Ulik, marvel
Ultimo_(Marvel_Comics), marvel
Ultron, marvel
U-Man, marvel
Umar_(Marvel_Comics), marvel
Underworld_(comics), marvel
Unicorn_(Marvel_Comics), marvel
Uni-Mind, marvel
Union_Jack_(comics), marvel
Unus_the_Untouchable, marvel
Ben_Urich, marvel
Phil_Urich, marvel
Ursa_Major_(comics), marvel
U.S._Agent_(comics), marvel
Valkyrie_(Marvel_Comics), marvel
Michael_Van_Patrick, marvel
Vanisher, marvel
U-Foes, marvel
U-Foes, marvel
Vengeance_(comics), marvel
Venom_(Marvel_Comics_character), marvel
Venomm, marvel
Venus_(Marvel_Comics), marvel
Vermin_(comics), marvel
Kristoff_Vernard, marvel
Vertigo_(Marvel_Comics), marvel
Vessel_(comics), marvel
Vibraxas, marvel
Scientist_Supreme, marvel
Vidar_(Marvel_Comics), marvel
Viper_(Marvel_Comics), marvel
Virgo_(comics), marvel
Vishanti, marvel
Vision_(Timely_Comics), marvel
Amelia_Voght, marvel
Voice_(comics), marvel
DP_7, marvel
Volcana_(Marvel_Comics), marvel
Volla_(comics), marvel
Volstagg, marvel
Baron_Von_Blitzschlag, marvel
Friedrich_Von_Roehm, marvel
Fenris_(comics), marvel
Werner_von_Strucker, marvel
Voyager_(comics), marvel
Vulcan_(Marvel_Comics), marvel
Wallflower_(comics), marvel
Walrus_(comics), marvel
War_(Marvel_Comics), marvel
Grant_Ward_(Marvel_Cinematic_Universe), marvel
War_Machine, marvel
Carol_Danvers, marvel
Warlock_(New_Mutants), marvel
Adam_Warlock, marvel
Warpath_(comics), marvel
Jackal_(Marvel_Comics), marvel
Warrior_Woman_(Marvel_Comics), marvel
Warwolf_(Marvel_Comics), marvel
Washout_(comics), marvel
Wasp_(comics), marvel
Anna_Watson_(comics), marvel
Mary_Jane_Watson|Mary_Jane_Watson_(Sam_Raimi_film_series), marvel
Weapon_H, marvel
Wendigo_(comics), marvel
Werewolf_by_Night, marvel
Nicodemus_West, marvel
Western_Kid, marvel
Evangeline_Whedon, marvel
Whiplash_(comics), marvel
Whirlwind_(comics), marvel
Abraham_Whistler, marvel
White_Dragon_(comics), marvel
White_Rabbit_(comics), marvel
White_Tiger_(comics), marvel
Whiteout_(Marvel_Comics), marvel
Debra_Whitman, marvel
Whizzer_(comics), marvel
Wiccan_(comics), marvel
Wild_Child_(comics), marvel
Alex_Wilder, marvel
Pride_(comics), marvel
Mutant_Liberation_Front, marvel
Wildstreak, marvel
Will_o'_the_Wisp_(comics), marvel
Riri_Williams, marvel
Jim_Wilson_(comics), marvel
Wind_Dancer, marvel
Wing_(Marvel_Comics), marvel
Colleen_Wing, marvel
Wyatt_Wingfoot, marvel
Bucky_Barnes, marvel
Wipeout_(comics), marvel
Pete_Wisdom, marvel
Romany_Wisdom, marvel
Wither_(comics), marvel
Witness_(comics), marvel
Wizard_(Marvel_Comics), marvel
Wolfsbane_(comics), marvel
Wolverine_(character)|Wolverine_(Ultimate_Marvel_character)|Logan_(film_series_character), marvel
Wonder_Man, marvel
Wong_(comics), marvel
Wong-Chu, marvel
Jimmy_Woo, marvel
Wraith_(Brian_DeWolff), marvel
Wrecker_(comics), marvel
Wundarr_the_Aquarian, marvel
Wysper, marvel
Professor_X, marvel
Xavin, marvel
Nate_Grey, marvel
Xorn, marvel
U-Foes, marvel
Mariko_Yashida, marvel
Shingen_Yashida, marvel
Yellow_Claw_(comics), marvel
Yellowjacket_(Marvel_Comics), marvel
Ymir_(Marvel_Comics), marvel
Yondu, marvel
Yon-Rogg, marvel
Pride_(comics), marvel
Yukio_(comics), marvel
Zabu, marvel
Zarathos, marvel
Zarrko, marvel
X-Statix, marvel
Helmut_Zemo, marvel
Alex_Power, marvel
Zeus_(Marvel_Comics), marvel
Zheng_Bao_Yu, marvel
Zheng_Zu, marvel
Arnim_Zola, marvel
Zombie_(comics), marvel
Zorro_(comics), marvel
Enclave_(comics), marvel
list_of_Eternals, marvel
Zzzax, marvel
3-D_Man, marvel
